H0,Omega_Lambda,k,t_crit
7.393364195187217547e+01,7.300469845480440645e-01,2.811334469924932633e-01,6.801414391237657675e+00
7.389823578257562531e+01,7.304819155306114808e-01,2.762835603871460211e-01,6.701648600174404002e+00
7.393040584677331140e+01,7.286287969485774063e-01,3.001179121383373838e-01,6.878323516664077708e+00
7.393040584677331140e+01,7.286287969485774063e-01,3.001179121383373838e-01,6.878323516664077708e+00
7.393040584677331140e+01,7.286287969485774063e-01,3.001179121383373838e-01,6.878323516664077708e+00
7.393040584677331140e+01,7.286287969485774063e-01,3.001179121383373838e-01,6.878323516664077708e+00
7.393040584677331140e+01,7.286287969485774063e-01,3.001179121383373838e-01,6.878323516664077708e+00
7.393040584677331140e+01,7.286287969485774063e-01,3.001179121383373838e-01,6.878323516664077708e+00
7.382406258348535744e+01,7.284572253609858938e-01,3.163705984160515849e-01,6.312784962825479518e+00
7.382406258348535744e+01,7.284572253609858938e-01,3.163705984160515849e-01,6.312784962825479518e+00
7.382406258348535744e+01,7.284572253609858938e-01,3.163705984160515849e-01,6.312784962825479518e+00
7.382406258348535744e+01,7.284572253609858938e-01,3.163705984160515849e-01,6.312784962825479518e+00
7.382406258348535744e+01,7.284572253609858938e-01,3.163705984160515849e-01,6.312784962825479518e+00
7.382406258348535744e+01,7.284572253609858938e-01,3.163705984160515849e-01,6.312784962825479518e+00
7.382406258348535744e+01,7.284572253609858938e-01,3.163705984160515849e-01,6.312784962825479518e+00
7.388082384839877648e+01,7.277170082468605861e-01,3.547028653074081328e-01,6.525161885255338134e+00
7.388082384839877648e+01,7.277170082468605861e-01,3.547028653074081328e-01,6.525161885255338134e+00
7.388082384839877648e+01,7.277170082468605861e-01,3.547028653074081328e-01,6.525161885255338134e+00
7.388082384839877648e+01,7.277170082468605861e-01,3.547028653074081328e-01,6.525161885255338134e+00
7.392558315054652951e+01,7.270694870245244523e-01,3.780773191216395546e-01,6.779387069500888430e+00
7.391754699910509885e+01,7.269299779315506749e-01,3.851828025770461239e-01,6.779549795908778265e+00
7.391754699910509885e+01,7.269299779315506749e-01,3.851828025770461239e-01,6.779549795908778265e+00
7.394030604988084576e+01,7.274082815428354332e-01,3.717858308397563594e-01,6.868575948958159927e+00
