H0,Omega_Lambda,k,t_crit
7.673780174599284010e+01,6.659413865216590178e-01,2.435261231064628495e-01,1.669585544048927161e+01
7.456516661148458525e+01,6.751645260972065632e-01,3.097835651789113132e-01,1.374514821608664761e+01
6.954603644879503577e+01,6.905572760300852098e-01,3.867002612127621863e-01,1.224856757386343631e+01
7.034203914873535268e+01,7.011735399608681751e-01,4.256685150367507386e-01,1.616074298913246921e+01
7.267857612131741973e+01,6.955349042772006607e-01,3.802896896111521152e-01,1.770965259788098578e+01
7.293547014661636751e+01,6.823961351303993172e-01,3.617130391148402624e-01,1.665549548420453618e+01
7.437697329414108083e+01,6.937241098721329546e-01,4.407685128505210437e-01,1.757084915962650484e+01
7.339540905129244663e+01,7.020488597529115360e-01,4.369817417289909023e-01,1.723218270952615327e+01
7.206726053800169041e+01,6.913720746440504827e-01,3.713557344843133601e-01,1.626030866987297685e+01
7.113494123948592573e+01,6.749789970398930583e-01,5.550381262908371527e-01,1.509939287505819294e+01
7.132151961400472828e+01,7.014707663758221745e-01,2.898297065788560389e-01,1.649772407531724028e+01
7.554640821255586047e+01,7.014586447798660807e-01,3.752833722005782247e-01,1.445562315442952439e+01
7.256222746286859149e+01,6.804864102013080673e-01,4.517464345597836939e-01,1.638714384609825103e+01
7.019781362985688133e+01,6.882831249368510651e-01,4.789251263356951727e-01,1.406615863399165356e+01
7.292123673449631838e+01,6.937352680227193424e-01,3.499691493188883951e-01,1.763408965623668578e+01
7.429306239428522929e+01,7.060130833308250198e-01,3.085033161994375495e-01,1.333863605220280135e+01
7.129907289906198287e+01,6.829976277691381936e-01,3.731600499240130819e-01,1.623761076107912160e+01
6.940235429372772558e+01,6.938361847471192778e-01,2.734190886639455420e-01,1.676807465122650598e+01
7.343558280385319392e+01,6.813236364848980209e-01,4.392882368823869954e-01,1.520594880674153515e+01
7.508292223915056240e+01,7.012513095625935167e-01,3.756991710341663904e-01,1.553604925006772142e+01
7.440118836174467276e+01,6.759949583839350851e-01,3.511637821751049104e-01,1.630622366248162791e+01
7.537222984935166892e+01,7.094241484754778559e-01,4.252203686311317732e-01,1.926086900857625750e+01
7.060985020883060770e+01,6.842323506929257615e-01,4.610601744656520617e-01,1.505229997513253082e+01
7.251546542923394156e+01,7.082516940437072472e-01,3.851469874590316422e-01,1.804230072691360576e+01
7.095552225124133372e+01,6.989788220779102890e-01,3.957024471940683852e-01,1.499298065455361595e+01
7.152368115717777641e+01,6.810179087662039388e-01,4.465830027267025382e-01,1.527000924320576658e+01
7.308801062786930913e+01,6.988964372800176017e-01,2.925812123593703462e-01,1.826113036912168752e+01
6.955082892790537130e+01,7.028997856805294653e-01,3.590305224650534033e-01,1.696590223660682994e+01
7.254102116930110355e+01,6.785273952183488166e-01,3.613821229806859492e-01,1.260451476038904417e+01
7.370817800994959157e+01,7.028951759998892657e-01,3.640174490674650820e-01,1.583584433459535568e+01
7.182192550626750460e+01,6.765198750601104649e-01,4.018005346645623366e-01,1.584686126686504970e+01
6.896528430512360330e+01,6.885725855780346905e-01,3.949080379199018109e-01,1.521966145188398656e+01
7.170555298601667005e+01,6.836407805353829081e-01,3.474775719315639222e-01,1.621681954803884906e+01
7.455474726548378328e+01,6.842874207808686826e-01,4.580668178737007379e-01,1.800439369998064976e+01
7.504661634544251569e+01,6.616113658080340354e-01,3.896360193542218187e-01,1.479289219131662847e+01
6.903741039364616938e+01,6.925136063174187617e-01,4.675540819041104079e-01,1.693297834880679176e+01
7.399620791050148227e+01,6.921684670864229894e-01,3.357840522133477279e-01,1.335773538377285874e+01
6.873721696617614896e+01,6.978432133981701257e-01,3.383570585866574332e-01,1.696115070606354891e+01
7.050240270475933357e+01,6.953553444858333599e-01,3.258536995329797681e-01,1.477513891941371682e+01
7.221254613533886868e+01,7.065336208015550179e-01,4.365724907034955748e-01,1.629802698951586848e+01
7.340013187703620190e+01,7.055300455706010609e-01,2.760536885777240546e-01,1.858268630278647393e+01
7.142794570853047276e+01,6.626367017507014401e-01,4.179116258564275488e-01,1.664753166315140476e+01
7.457311042564147385e+01,7.182141924617816420e-01,4.961014104005237457e-01,1.727755267909215675e+01
7.334548885764162662e+01,6.885567055260161107e-01,3.178155403198325013e-01,1.768842405876949897e+01
7.017720353874369721e+01,7.063263104095635070e-01,2.813493146241440312e-01,1.680332914771033614e+01
7.574825041744550447e+01,6.642827355446192517e-01,4.816576249908012808e-01,1.560443411401119995e+01
7.436947443010481607e+01,6.873671056929991918e-01,4.195006610272196124e-01,1.573830837306119257e+01
7.292557975054096175e+01,6.893109755075604861e-01,4.178624169258232657e-01,1.783120583638133994e+01
7.068952730387384520e+01,6.669975603509141759e-01,2.913915952027906209e-01,1.496329747687210876e+01
7.220957056372394334e+01,6.903670672229810235e-01,3.482631098420472804e-01,1.443447938606100678e+01
7.013679486069860047e+01,6.817905281572625986e-01,2.737557540082476981e-01,1.602931247867294573e+01
7.288901983724672107e+01,6.772110167580458473e-01,2.973276729956987885e-01,1.645038019659052608e+01
7.290031479569999817e+01,7.043214795381851356e-01,4.123302880817278360e-01,1.502654903387873553e+01
7.588854117404159183e+01,6.785545919179172270e-01,3.483881189118134269e-01,1.801226396319373890e+01
7.415683453370786538e+01,6.831713818997676713e-01,2.943555576727571177e-01,1.431800027565492250e+01
7.103851147186703940e+01,6.865442636508957142e-01,3.532769466386170842e-01,1.502418594820000841e+01
7.348122392632546962e+01,6.862325227218700752e-01,4.535460865867504410e-01,1.547549537230267624e+01
6.898801159199564381e+01,6.831238546682397716e-01,4.305749439600867756e-01,1.249286574387417659e+01
7.378690366394003775e+01,7.050315246106487743e-01,3.523792669785364429e-01,1.841041311437314931e+01
